,fid_loss,solution,norms
0,0.0,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
1,0.01,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
2,0.02,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
3,0.03,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
4,0.04,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
5,0.05,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
6,0.06,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
7,0.07,"[array([ 0.4299204 , -0.16854153,  0.01798463,  0.02019533,  0.001349  ,
        0.01505456, -0.0127559 ,  0.01371777])]",0.46319374275223
8,0.08,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
9,0.09,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
10,0.1,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
11,0.11,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
12,0.12,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
13,0.13,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
14,0.14,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
15,0.15,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
16,0.16,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
17,0.17,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
18,0.18,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
19,0.19,"[array([ 0.49134707, -0.22387   ,  0.04409349,  0.0049397 ,  0.02355656,
       -0.01509354,  0.01181374,  0.0068843 ])]",0.5426583071241414
