,fid_loss,solution,norms
0,0.0,"[array([ 0.09323455, -0.07570942,  0.13656174, -0.02224282,  0.01591882,
        0.00054547,  0.02924642, -0.00503722])]",0.1862870953593538
1,0.01,"[array([-0.00612833, -0.00144913,  0.12699278, -0.01417095,  0.00624996,
        0.00477513,  0.01987744,  0.00147306])]",0.1297180977749507
2,0.02,"[array([-0.01190781,  0.00279405,  0.12018671, -0.00407633,  0.01568935,
        0.00368391,  0.01459355,  0.00238854])]",0.122839195414616
3,0.03,"[array([-0.01190817,  0.00279435,  0.12018644, -0.00407618,  0.01568947,
        0.00368393,  0.01459368,  0.00238855])]",0.1228389974239813
4,0.04,"[array([-0.01190424,  0.00279102,  0.1201893 , -0.00407764,  0.01568822,
        0.00368369,  0.01459231,  0.00238843])]",0.1228410610008444
5,0.05,"[array([-0.01190702,  0.00279338,  0.12018729, -0.00407663,  0.0156891 ,
        0.00368386,  0.01459328,  0.00238852])]",0.1228396162228719
6,0.06,"[array([-0.01190948,  0.00279546,  0.1201855 , -0.00407571,  0.01568988,
        0.00368401,  0.01459413,  0.00238859])]",0.1228383242937415
7,0.07,"[array([-0.01190633,  0.0027928 ,  0.12018776, -0.00407684,  0.01568888,
        0.00368382,  0.01459304,  0.0023885 ])]",0.1228399461963737
8,0.08,"[array([-0.01190625,  0.00279273,  0.12018784, -0.0040769 ,  0.01568886,
        0.00368381,  0.01459301,  0.00238849])]",0.1228400086446504
9,0.09,"[array([-0.01190747,  0.00279376,  0.12018695, -0.00407644,  0.01568924,
        0.00368389,  0.01459343,  0.00238853])]",0.1228393653806888
10,0.1,"[array([-0.01191047,  0.00279631,  0.12018478, -0.00407536,  0.0156902 ,
        0.00368407,  0.01459448,  0.00238862])]",0.1228378150604194
11,0.11,"[array([-0.01190596,  0.00279248,  0.12018806, -0.00407702,  0.01568877,
        0.00368379,  0.01459291,  0.00238849])]",0.1228401686910051
12,0.12,"[array([-0.01190805,  0.00279425,  0.12018655, -0.00407626,  0.01568943,
        0.00368392,  0.01459363,  0.00238855])]",0.1228390881884782
13,0.13,"[array([-0.01190756,  0.00279384,  0.1201869 , -0.00407644,  0.01568928,
        0.00368389,  0.01459346,  0.00238853])]",0.1228393379348999
14,0.14,"[array([-0.01191089,  0.00279666,  0.12018447, -0.00407519,  0.01569033,
        0.0036841 ,  0.01459462,  0.00238863])]",0.1228375845990239
15,0.15,"[array([-0.01190916,  0.0027952 ,  0.12018572, -0.00407582,  0.01568978,
        0.00368399,  0.01459402,  0.00238858])]",0.1228384827498101
16,0.16,"[array([-0.01190883,  0.00279491,  0.12018597, -0.00407595,  0.01568968,
        0.00368397,  0.0145939 ,  0.00238857])]",0.1228386626430638
17,0.17,"[array([-0.0119122 ,  0.00279778,  0.12018352, -0.00407472,  0.01569075,
        0.00368418,  0.01459508,  0.00238867])]",0.1228369044320494
18,0.18,"[array([-0.01190827,  0.00279444,  0.12018639, -0.00407618,  0.0156895 ,
        0.00368394,  0.01459371,  0.00238856])]",0.1228389728452517
19,0.19,"[array([-0.01191223,  0.0027978 ,  0.12018349, -0.0040747 ,  0.01569076,
        0.00368418,  0.01459509,  0.00238867])]",0.1228368847583679
20,0.2,"[array([-0.01190837,  0.00279453,  0.12018631, -0.00407613,  0.01568953,
        0.00368394,  0.01459374,  0.00238856])]",0.1228389082919114
21,0.21,"[array([-0.01191171,  0.00279735,  0.12018389, -0.00407491,  0.0156906 ,
        0.00368415,  0.01459491,  0.00238866])]",0.1228371723161456
22,0.22,"[array([-0.0119122 ,  0.00279777,  0.12018354, -0.00407473,  0.01569075,
        0.00368418,  0.01459508,  0.00238867])]",0.1228369186712187
23,0.23,"[array([-0.01190816,  0.00279434,  0.12018645, -0.00407619,  0.01568946,
        0.00368393,  0.01459367,  0.00238855])]",0.1228390049662306
24,0.24,"[array([-0.01190972,  0.00279567,  0.12018532, -0.00407562,  0.01568996,
        0.00368402,  0.01459422,  0.0023886 ])]",0.1228381935404348
25,0.25,"[array([-0.01191101,  0.00279676,  0.12018438, -0.00407515,  0.01569037,
        0.0036841 ,  0.01459466,  0.00238864])]",0.1228375220269622
26,0.26,"[array([-0.01191052,  0.00279634,  0.12018473, -0.00407531,  0.01569021,
        0.00368407,  0.01459449,  0.00238862])]",0.1228377665724718
27,0.27,"[array([-0.01191012,  0.00279601,  0.12018504, -0.00407549,  0.01569009,
        0.00368405,  0.01459435,  0.00238861])]",0.1228379963922488
28,0.28,"[array([-0.01190775,  0.002794  ,  0.12018675, -0.00407635,  0.01568934,
        0.0036839 ,  0.01459353,  0.00238854])]",0.1228392253694836
29,0.29,"[array([-0.01190749,  0.00279378,  0.12018694, -0.00407643,  0.01568925,
        0.00368389,  0.01459344,  0.00238853])]",0.1228393555143728
30,0.3,"[array([-0.01191056,  0.00279638,  0.12018472, -0.00407532,  0.01569023,
        0.00368408,  0.01459451,  0.00238862])]",0.1228377633265766
31,0.31,"[array([-0.01190847,  0.00279461,  0.12018622, -0.00407607,  0.01568956,
        0.00368395,  0.01459378,  0.00238856])]",0.1228388419223047
32,0.32,"[array([-0.01190963,  0.00279559,  0.12018538, -0.00407564,  0.01568993,
        0.00368402,  0.01459418,  0.0023886 ])]",0.1228382343009926
33,0.33,"[array([-0.01190732,  0.00279364,  0.12018705, -0.00407649,  0.0156892 ,
        0.00368388,  0.01459338,  0.00238853])]",0.1228394402857306
34,0.34,"[array([-0.01191023,  0.0027961 ,  0.12018495, -0.00407544,  0.01569012,
        0.00368406,  0.01459439,  0.00238861])]",0.1228379341312186
35,0.35,"[array([-0.0119032 ,  0.00279014,  0.12019004, -0.004078  ,  0.01568788,
        0.00368363,  0.01459195,  0.0023884 ])]",0.1228415858868835
36,0.36,"[array([-0.01190738,  0.00279369,  0.12018702, -0.00407649,  0.01568922,
        0.00368388,  0.0145934 ,  0.00238853])]",0.1228394211949908
37,0.37,"[array([-0.01190867,  0.00279478,  0.12018609, -0.00407602,  0.01568963,
        0.00368396,  0.01459385,  0.00238857])]",0.1228387540300498
38,0.38,"[array([-0.01190825,  0.00279442,  0.12018639, -0.00407616,  0.01568949,
        0.00368393,  0.0145937 ,  0.00238855])]",0.1228389648879727
39,0.39,"[array([-0.01190772,  0.00279398,  0.12018678, -0.00407636,  0.01568933,
        0.0036839 ,  0.01459352,  0.00238854])]",0.1228392445590561
40,0.4,"[array([-0.01190806,  0.00279426,  0.1201865 , -0.0040762 ,  0.01568943,
        0.00368392,  0.01459364,  0.00238855])]",0.1228390402936967
41,0.41,"[array([-0.01190777,  0.00279401,  0.12018673, -0.00407632,  0.01568934,
        0.00368391,  0.01459354,  0.00238854])]",0.1228392032075808
42,0.42,"[array([-0.01190732,  0.00279364,  0.12018707, -0.00407651,  0.0156892 ,
        0.00368388,  0.01459338,  0.00238853])]",0.1228394527344864
43,0.43,"[array([-0.0119053 ,  0.00279192,  0.12018853, -0.00407725,  0.01568855,
        0.00368375,  0.01459268,  0.00238847])]",0.1228405057666953
44,0.44,"[array([-0.01190762,  0.00279389,  0.12018683, -0.00407638,  0.01568929,
        0.0036839 ,  0.01459349,  0.00238854])]",0.122839280904214
45,0.45,"[array([-0.01190843,  0.00279457,  0.12018627, -0.00407611,  0.01568955,
        0.00368394,  0.01459376,  0.00238856])]",0.1228388811992701
46,0.46,"[array([-0.01190742,  0.00279372,  0.12018699, -0.00407647,  0.01568923,
        0.00368388,  0.01459342,  0.00238853])]",0.1228393960904854
47,0.47,"[array([-0.01190785,  0.00279408,  0.12018668, -0.0040763 ,  0.01568936,
        0.00368391,  0.01459356,  0.00238854])]",0.1228391689264655
48,0.48,"[array([-0.01191   ,  0.0027959 ,  0.12018511, -0.00407551,  0.01569005,
        0.00368404,  0.01459431,  0.00238861])]",0.1228380438779843
